Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",105.562400,-103.987600,-90.000000,top
"C2","100n","C_0603_1608Metric",111.302800,-86.868000,90.000000,top
"C3","100n","C_0603_1608Metric",97.739200,-103.936800,-90.000000,top
"C4","1n","C_0603_1608Metric",73.863200,-69.138800,90.000000,top
"C5","100n","C_0603_1608Metric",86.995000,-105.029000,-90.000000,top
"C6","1u","C_0603_1608Metric",83.210400,-72.085200,-90.000000,top
"C7","1u","C_0603_1608Metric",85.699600,-67.106800,-90.000000,top
"C8","100n","C_0603_1608Metric",88.540000,-105.029000,-90.000000,top
"C9","100n","C_0603_1608Metric",90.043000,-105.029000,-90.000000,top
"C10","100n","C_0603_1608Metric",87.274400,-95.250000,180.000000,top
"C11","4u7","C_0603_1608Metric",85.039200,-71.983600,-90.000000,top
"C12","1n","C_0603_1608Metric",77.038200,-78.181200,180.000000,top
"C13","1u","C_0603_1608Metric",76.149200,-87.630000,180.000000,top
"C14","4u7","C_0603_1608Metric",76.250800,-89.458800,180.000000,top
"C15","1u","C_0603_1608Metric",81.127600,-90.119200,180.000000,top
"C16","1n","C_0603_1608Metric",97.028000,-70.612000,0.000000,top
"C17","1u","C_0603_1608Metric",103.478801,-75.845199,-90.000000,top
"C18","4u7","C_0603_1608Metric",105.307601,-75.743599,-90.000000,top
"C19","1u","C_0603_1608Metric",105.968001,-70.866799,-90.000000,top
"D4","40V 1A","D_SOD-123",88.900000,-72.694800,0.000000,top
"D5","40V 1A","D_SOD-123",75.539600,-93.319600,-90.000000,top
"D6","40V 1A","D_SOD-123",109.168401,-76.454799,0.000000,top
"L1","10u","L_0520",89.204800,-68.122800,90.000000,top
"L2","10u","L_0520",80.111600,-93.624400,0.000000,top
"L3","10u","L_0520",109.473201,-71.882799,90.000000,top
"R1","120","C_0603_1608Metric",101.752400,-106.222800,180.000000,top
"R2","120","C_0603_1608Metric",94.030800,-106.222800,180.000000,top
"R3","0R68","R_1206_3216Metric",80.314800,-87.985600,0.000000,top
"R4","0R68","R_1206_3216Metric",83.566000,-67.919600,90.000000,top
"R5","0R68","R_1206_3216Metric",103.834401,-71.679599,90.000000,top
"R6","10k","R_0603_1608Metric",105.765600,-85.953600,180.000000,top
"R7","10k","R_0603_1608Metric",106.527600,-84.378800,180.000000,top
"R8","10k","R_0603_1608Metric",101.854000,-89.763600,90.000000,top
"U1","MAX485E","SOIC-8_3.9x4.9mm_P1.27mm",101.803200,-100.736400,180.000000,top
"U2","WS2811","SOIC-8_3.9x4.9mm_P1.27mm",106.578400,-89.611200,-90.000000,top
"U3","MAX485E","SOIC-8_3.9x4.9mm_P1.27mm",94.081600,-100.736400,180.000000,top
"U4","LM78M05_TO252","TO-252-2",83.860000,-99.910000,180.000000,top
"U5","BP1808","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",78.536800,-70.561200,-90.000000,top
"U6","BP1808","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",77.673200,-82.956400,180.000000,top
"U7","BP1808","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",98.805201,-74.321199,-90.000000,top
